year,District,Dropout Rate (%),Literacy Rate (%),Teacher-Student Ratio,School Infrastructure Quality,Average Annual Income (INR)
2017-2018,Kurnool,0.7530864197530864,0.15282730514518583,01:37,Average,0.2750388492374547
2017-2018,Nellore,0.3209876543209875,0.6113092205807438,01:34,Good,0.2750388492374547
2017-2018,Prakasam,0.5061728395061726,0.3056546102903721,01:36,Average,0.2750388492374547
2017-2018,Srikakulam,0.382716049382716,0.2292409577177792,01:35,Good,0.2750388492374547
2017-2018,Visakhapatnam,0.2592592592592591,0.5094243504839531,01:32,Very Good,0.6875971230936371
2017-2018,Vizianagaram,0.382716049382716,0.1018848700967907,01:36,Good,0.2750388492374547
2017-2018,West Godavari,0.2592592592592591,0.8914926133469181,01:33,Very Good,0.6875971230936371
2016-2017,Anantapur,0.7530864197530864,0.3056546102903721,01:35,Good,0.2062791369280912
2016-2017,Chittoor,0.5061728395061726,0.7131940906775345,01:33,Very Good,0.41255827385618216
2016-2017,East Godavari,0.3209876543209875,0.6877228731533367,01:37,Good,0.6188374107842731
2016-2017,Guntur,0.5679012345679013,0.5094243504839531,01:34,Average,0.2062791369280912
2016-2017,Kadapa,0.5061728395061726,0.45848191543555794,01:36,Good,0.2062791369280912
2016-2017,Krishna,0.2592592592592591,0.8150789607743252,01:32,Very Good,0.41255827385618216
2016-2017,Kurnool,0.8148148148148147,0.1273560876209885,01:38,Average,0.2062791369280912
2016-2017,Nellore,0.382716049382716,0.5858380030565464,01:35,Good,0.2062791369280912
2016-2017,Prakasam,0.5679012345679013,0.2801833927661743,01:37,Average,0.2062791369280912
2016-2017,Srikakulam,0.4444444444444444,0.2037697401935814,01:36,Good,0.2062791369280912
2016-2017,Visakhapatnam,0.3209876543209875,0.4839531329597557,01:33,Very Good,0.6188374107842731
2016-2017,Vizianagaram,0.4444444444444444,0.07641365257259292,01:37,Good,0.2062791369280912
2016-2017,West Godavari,0.3209876543209875,0.8660213958227208,01:34,Very Good,0.6188374107842731
2015-2016,Anantapur,0.7530864197530864,0.3056546102903721,01:35,Good,0.2062791369280912
2015-2016,Chittoor,0.5061728395061726,0.7131940906775345,01:33,Very Good,0.41255827385618216
2015-2016,East Godavari,0.3209876543209875,0.6877228731533367,01:37,Good,0.6188374107842731
2015-2016,Guntur,0.5679012345679013,0.5094243504839531,01:34,Average,0.2062791369280912
2015-2016,Kadapa,0.5061728395061726,0.45848191543555794,01:36,Good,0.2062791369280912
2015-2016,Krishna,0.2592592592592591,0.8150789607743252,01:32,Very Good,0.41255827385618216
2015-2016,Kurnool,0.8148148148148147,0.1273560876209885,01:38,Average,0.2062791369280912
2015-2016,Nellore,0.382716049382716,0.5858380030565464,01:35,Good,0.2062791369280912
2015-2016,Prakasam,0.5679012345679013,0.2801833927661743,01:37,Average,0.2062791369280912
2015-2016,Srikakulam,0.4444444444444444,0.2037697401935814,01:36,Good,0.2062791369280912
2015-2016,Visakhapatnam,0.3209876543209875,0.4839531329597557,01:33,Very Good,0.6188374107842731
2015-2016,Vizianagaram,0.4444444444444444,0.07641365257259292,01:37,Good,0.2062791369280912
2015-2016,West Godavari,0.3209876543209875,0.8660213958227208,01:34,Very Good,0.6188374107842731
2014-2015,Anantapur,0.8765432098765433,0.25471217524197654,01:37,Good,0.06875971230936373
2014-2015,Chittoor,0.6296296296296295,0.6622516556291393,01:35,Very Good,0.2750388492374547
2014-2015,East Godavari,0.4444444444444444,0.6367804381049416,01:39,Good,0.48131798616554566
2014-2015,Guntur,0.6913580246913578,0.45848191543555794,01:36,Average,0.06875971230936373
2014-2015,Kadapa,0.6296296296296295,0.4075394803871628,01:38,Good,0.06875971230936373
2014-2015,Krishna,0.382716049382716,0.76413652572593,01:34,Very Good,0.2750388492374547
2014-2015,Kurnool,0.9382716049382716,0.07641365257259292,01:40,Average,0.06875971230936373
2014-2015,Nellore,0.5061728395061726,0.5348955680081509,01:37,Good,0.06875971230936373
2014-2015,Prakasam,0.6913580246913578,0.2292409577177792,01:39,Average,0.06875971230936373
2014-2015,Srikakulam,0.5679012345679013,0.15282730514518583,01:38,Good,0.06875971230936373
2014-2015,Visakhapatnam,0.4444444444444444,0.43301069791136015,01:35,Very Good,0.48131798616554566
2014-2015,Vizianagaram,0.5679012345679013,0.025471217524197787,01:39,Good,0.06875971230936373
2014-2015,West Godavari,0.4444444444444444,0.8150789607743252,01:36,Very Good,0.48131798616554566
2013-2014,Anantapur,0.9382716049382716,0.2292409577177792,01:38,Good,0.0
2013-2014,Chittoor,0.6913580246913578,0.6367804381049416,01:36,Very Good,0.2062791369280912
2013-2014,East Godavari,0.5061728395061726,0.6113092205807438,01:40,Good,0.41255827385618216
2013-2014,Guntur,0.7530864197530864,0.43301069791136015,01:37,Average,0.0
2013-2014,Kadapa,0.6913580246913578,0.382068262862965,01:39,Good,0.0
2013-2014,Krishna,0.4444444444444444,0.7386653082017323,01:35,Very Good,0.2062791369280912
2013-2014,Kurnool,0.9999999999999998,0.05094243504839513,01:41,Average,0.0
2013-2014,Nellore,0.5679012345679013,0.5094243504839531,01:38,Good,0.0
2013-2014,Prakasam,0.7530864197530864,0.2037697401935814,01:40,Average,0.0
2013-2014,Srikakulam,0.6296296296296295,0.1273560876209885,01:39,Good,0.0
2013-2014,Visakhapatnam,0.5061728395061726,0.4075394803871628,01:36,Very Good,0.41255827385618216
2013-2014,Vizianagaram,0.6296296296296295,0.0,01:40,Good,0.0
2013-2014,West Godavari,0.5061728395061726,0.7896077432501274,01:37,Very Good,0.41255827385618216
